"","Chromosome","Position","Strand","OriginalValue","Rank","Value"
"3170","chromosome",3933854,"-",0.9304,3170,0.9303991392
"3171","chromosome",4607607,"+",0.9304,3171,0.9303991392
"3172","chromosome",5520062,"+",0.9304,3172,0.9303991392
"3173","chromosome",395565,"-",0.9303,3173,0.9302991394
"3174","chromosome",551807,"+",0.9303,3174,0.9302991394
"3175","chromosome",576222,"+",0.9302,3175,0.9301991396
"3176","chromosome",1238813,"-",0.9302,3176,0.9301991396
"3177","chromosome",1740628,"+",0.9302,3177,0.9301991396
"3178","chromosome",2684303,"-",0.9302,3178,0.9301991396
"3179","chromosome",3285028,"+",0.9302,3179,0.9301991396
"3180","chromosome",3717520,"+",0.9302,3180,0.9301991396
"3181","chromosome",4075354,"-",0.9302,3181,0.9301991396
"3182","chromosome",4090146,"+",0.9302,3182,0.9301991396
"3183","chromosome",4270600,"+",0.9302,3183,0.9301991396
"3184","chromosome",4830332,"-",0.9302,3184,0.9301991396
"3185","chromosome",4987306,"+",0.9302,3185,0.9301991396
"3186","chromosome",5433072,"-",0.9302,3186,0.9301991396
"3187","chromosome",757469,"-",0.9301,3187,0.9300991398
"3188","chromosome",1720510,"-",0.9301,3188,0.9300991398
"3189","chromosome",4465843,"-",0.9301,3189,0.9300991398
"3190","chromosome",5094911,"-",0.9301,3190,0.9300991398
"3191","chromosome",3388791,"+",0.9299,3191,0.9298991402
"3192","chromosome",5064251,"-",0.9299,3192,0.9298991402
"3193","chromosome",5305390,"-",0.9299,3193,0.9298991402
"3194","chromosome",5476764,"+",0.9299,3194,0.9298991402
"3195","chromosome",5719831,"-",0.9299,3195,0.9298991402
"3196","large.plasmid",14829,"-",0.9299,3196,0.9298991402
"3197","chromosome",1447149,"-",0.9298,3197,0.9297991404
"3198","chromosome",1490196,"+",0.9298,3198,0.9297991404
"3199","chromosome",1565366,"-",0.9298,3199,0.9297991404
"3200","chromosome",2100466,"+",0.9298,3200,0.9297991404
"3201","chromosome",2208731,"-",0.9298,3201,0.9297991404
"3202","chromosome",3377906,"+",0.9298,3202,0.9297991404
"3203","chromosome",3470860,"-",0.9298,3203,0.9297991404
"3204","chromosome",3609269,"-",0.9298,3204,0.9297991404
"3205","chromosome",5451526,"-",0.9298,3205,0.9297991404
"3206","chromosome",990864,"-",0.9297,3206,0.9296991406
"3207","chromosome",2413252,"-",0.9297,3207,0.9296991406
"3208","chromosome",2760122,"+",0.9297,3208,0.9296991406
"3209","chromosome",2789451,"-",0.9297,3209,0.9296991406
"3210","chromosome",4167302,"+",0.9297,3210,0.9296991406
"3211","chromosome",5269279,"+",0.9297,3211,0.9296991406
"3212","chromosome",5499790,"+",0.9297,3212,0.9296991406
"3213","chromosome",2428960,"+",0.9296,3213,0.9295991408
"3214","chromosome",3127442,"+",0.9296,3214,0.9295991408
"3215","chromosome",3385059,"+",0.9296,3215,0.9295991408
"3216","chromosome",3691791,"-",0.9296,3216,0.9295991408
"3217","chromosome",4268599,"-",0.9296,3217,0.9295991408
"3218","chromosome",1713573,"+",0.9295,3218,0.929499141
"3219","chromosome",2281050,"+",0.9295,3219,0.929499141
"3220","chromosome",3266900,"-",0.9295,3220,0.929499141
"3221","chromosome",3252960,"+",0.9294,3221,0.9293991412
"3222","chromosome",4539130,"+",0.9294,3222,0.9293991412
"3223","chromosome",1573872,"+",0.9293,3223,0.9292991414
"3224","chromosome",2376681,"+",0.9293,3224,0.9292991414
"3225","chromosome",2750765,"+",0.9293,3225,0.9292991414
"3226","chromosome",2815418,"+",0.9293,3226,0.9292991414
"3227","chromosome",3188393,"+",0.9293,3227,0.9292991414
"3228","chromosome",4283663,"-",0.9293,3228,0.9292991414
"3229","chromosome",4644958,"-",0.9293,3229,0.9292991414
"3230","chromosome",4994114,"+",0.9293,3230,0.9292991414
"3231","chromosome",5038040,"+",0.9293,3231,0.9292991414
"3232","chromosome",2429788,"+",0.9292,3232,0.9291991416
"3233","chromosome",3418755,"-",0.9292,3233,0.9291991416
"3234","chromosome",3816865,"-",0.9292,3234,0.9291991416
"3235","chromosome",4025328,"-",0.9292,3235,0.9291991416
"3236","chromosome",1253988,"-",0.9291,3236,0.9290991418
"3237","chromosome",1384736,"+",0.9291,3237,0.9290991418
"3238","chromosome",1916122,"-",0.9291,3238,0.9290991418
"3239","chromosome",2816216,"+",0.9291,3239,0.9290991418
"3240","chromosome",3314303,"+",0.9291,3240,0.9290991418
"3241","chromosome",4499822,"-",0.9291,3241,0.9290991418
"3242","chromosome",4654304,"+",0.9291,3242,0.9290991418
"3243","chromosome",5097816,"+",0.9291,3243,0.9290991418
"3244","chromosome",5111863,"-",0.9291,3244,0.9290991418
"3245","chromosome",5747641,"-",0.9291,3245,0.9290991418
"3246","chromosome",5876997,"-",0.9291,3246,0.9290991418
"3247","chromosome",86984,"-",0.929,3247,0.928999142
"3248","chromosome",1723088,"+",0.929,3248,0.928999142
"3249","chromosome",1933106,"+",0.929,3249,0.928999142
"3250","chromosome",2525279,"+",0.929,3250,0.928999142
"3251","chromosome",2689388,"-",0.929,3251,0.928999142
"3252","chromosome",5465924,"-",0.929,3252,0.928999142
"3253","large.plasmid",124815,"-",0.929,3253,0.928999142
"3254","chromosome",67603,"+",0.9286,3254,0.9285991428
"3255","chromosome",172503,"+",0.9286,3255,0.9285991428
"3256","chromosome",524436,"+",0.9286,3256,0.9285991428
"3257","chromosome",613956,"-",0.9286,3257,0.9285991428
"3258","chromosome",732088,"-",0.9286,3258,0.9285991428
"3259","chromosome",759854,"-",0.9286,3259,0.9285991428
"3260","chromosome",829831,"-",0.9286,3260,0.9285991428
"3261","chromosome",1120375,"-",0.9286,3261,0.9285991428
"3262","chromosome",1238814,"+",0.9286,3262,0.9285991428
"3263","chromosome",2360039,"-",0.9286,3263,0.9285991428
"3264","chromosome",2747245,"+",0.9286,3264,0.9285991428
"3265","chromosome",2756149,"-",0.9286,3265,0.9285991428
"3266","chromosome",2885957,"+",0.9286,3266,0.9285991428
"3267","chromosome",2888762,"+",0.9286,3267,0.9285991428
"3268","chromosome",3007933,"+",0.9286,3268,0.9285991428
"3269","chromosome",3039113,"-",0.9286,3269,0.9285991428
"3270","chromosome",3154689,"+",0.9286,3270,0.9285991428
"3271","chromosome",3496939,"-",0.9286,3271,0.9285991428
"3272","chromosome",3735959,"-",0.9286,3272,0.9285991428
"3273","chromosome",3886509,"+",0.9286,3273,0.9285991428
"3274","chromosome",4420151,"-",0.9286,3274,0.9285991428
"3275","chromosome",4457237,"-",0.9286,3275,0.9285991428
"3276","chromosome",4981492,"+",0.9286,3276,0.9285991428
"3277","chromosome",5301433,"-",0.9286,3277,0.9285991428
"3278","chromosome",5386049,"-",0.9286,3278,0.9285991428
"3279","chromosome",5820721,"-",0.9286,3279,0.9285991428
"3280","chromosome",5841778,"+",0.9286,3280,0.9285991428
"3281","chromosome",2275944,"-",0.9282,3281,0.9281991436
"3282","chromosome",4079814,"-",0.9282,3282,0.9281991436
"3283","chromosome",4181658,"-",0.9282,3283,0.9281991436
"3284","chromosome",4703440,"-",0.9282,3284,0.9281991436
"3285","chromosome",5523778,"+",0.9282,3285,0.9281991436
"3286","chromosome",978740,"-",0.9281,3286,0.9280991438
"3287","chromosome",1237935,"-",0.9281,3287,0.9280991438
"3288","chromosome",1265489,"+",0.9281,3288,0.9280991438
"3289","chromosome",1912084,"+",0.9281,3289,0.9280991438
"3290","chromosome",2379731,"+",0.9281,3290,0.9280991438
"3291","chromosome",2661384,"+",0.9281,3291,0.9280991438
"3292","chromosome",3274689,"+",0.9281,3292,0.9280991438
"3293","chromosome",3793968,"+",0.9281,3293,0.9280991438
"3294","chromosome",5342069,"-",0.9281,3294,0.9280991438
"3295","chromosome",5494035,"-",0.9281,3295,0.9280991438
"3296","chromosome",409827,"+",0.928,3296,0.927999144
"3297","chromosome",526101,"+",0.928,3297,0.927999144
"3298","chromosome",1312783,"+",0.928,3298,0.927999144
"3299","chromosome",2094318,"+",0.928,3299,0.927999144
"3300","chromosome",2162322,"-",0.928,3300,0.927999144
"3301","chromosome",2236779,"+",0.928,3301,0.927999144
"3302","chromosome",2727759,"-",0.928,3302,0.927999144
"3303","chromosome",4266920,"-",0.928,3303,0.927999144
"3304","chromosome",5577726,"-",0.928,3304,0.927999144
"3305","chromosome",1042063,"-",0.9279,3305,0.9278991442
"3306","chromosome",2992390,"+",0.9279,3306,0.9278991442
"3307","chromosome",3084874,"-",0.9279,3307,0.9278991442
"3308","chromosome",3653718,"-",0.9279,3308,0.9278991442
"3309","chromosome",2862533,"+",0.9278,3309,0.9277991444
"3310","chromosome",3531968,"-",0.9278,3310,0.9277991444
"3311","chromosome",5185599,"-",0.9278,3311,0.9277991444
"3312","chromosome",5874420,"-",0.9278,3312,0.9277991444
"3313","chromosome",2071802,"-",0.9276,3313,0.9275991448
"3314","chromosome",2994369,"+",0.9276,3314,0.9275991448
"3315","chromosome",1960197,"-",0.9275,3315,0.927499145
"3316","chromosome",2017163,"+",0.9275,3316,0.927499145
"3317","chromosome",2066241,"+",0.9275,3317,0.927499145
"3318","chromosome",2240592,"-",0.9275,3318,0.927499145
"3319","chromosome",5130679,"+",0.9275,3319,0.927499145
"3320","chromosome",5514300,"-",0.9275,3320,0.927499145
"3321","chromosome",690285,"-",0.9274,3321,0.9273991452
"3322","chromosome",1607022,"-",0.9274,3322,0.9273991452
"3323","chromosome",1728735,"-",0.9274,3323,0.9273991452
"3324","chromosome",2412061,"+",0.9274,3324,0.9273991452
"3325","chromosome",3424699,"+",0.9274,3325,0.9273991452
"3326","chromosome",3483826,"+",0.9274,3326,0.9273991452
"3327","chromosome",4163795,"-",0.9274,3327,0.9273991452
"3328","chromosome",5078156,"+",0.9274,3328,0.9273991452
"3329","chromosome",5739723,"+",0.9274,3329,0.9273991452
"3330","chromosome",233882,"+",0.9273,3330,0.9272991454
"3331","chromosome",713126,"+",0.9273,3331,0.9272991454
"3332","chromosome",1829719,"-",0.9273,3332,0.9272991454
"3333","chromosome",2478169,"+",0.9273,3333,0.9272991454
"3334","chromosome",3516724,"+",0.9273,3334,0.9272991454
"3335","chromosome",5422065,"-",0.9273,3335,0.9272991454
"3336","chromosome",2122640,"-",0.9272,3336,0.9271991456
"3337","chromosome",2525278,"+",0.9272,3337,0.9271991456
"3338","chromosome",3071087,"-",0.9272,3338,0.9271991456
"3339","chromosome",4970077,"+",0.9272,3339,0.9271991456
"3340","chromosome",3572029,"-",0.9271,3340,0.9270991458
"3341","chromosome",391943,"+",0.927,3341,0.926999146
"3342","chromosome",604698,"+",0.927,3342,0.926999146
"3343","chromosome",1124379,"+",0.927,3343,0.926999146
"3344","chromosome",1295607,"+",0.927,3344,0.926999146
"3345","chromosome",2530013,"-",0.927,3345,0.926999146
"3346","chromosome",2898064,"+",0.927,3346,0.926999146
"3347","chromosome",4056557,"-",0.927,3347,0.926999146
"3348","chromosome",4314301,"+",0.927,3348,0.926999146
"3349","chromosome",5201749,"+",0.927,3349,0.926999146
"3350","large.plasmid",76574,"+",0.927,3350,0.926999146
"3351","chromosome",176991,"-",0.9269,3351,0.9268991462
"3352","chromosome",1071745,"+",0.9268,3352,0.9267991464
"3353","chromosome",1726840,"+",0.9268,3353,0.9267991464
"3354","chromosome",1926766,"+",0.9268,3354,0.9267991464
"3355","chromosome",2090757,"-",0.9268,3355,0.9267991464
"3356","chromosome",2879492,"+",0.9268,3356,0.9267991464
"3357","chromosome",3539610,"+",0.9268,3357,0.9267991464
"3358","chromosome",3705978,"-",0.9268,3358,0.9267991464
"3359","chromosome",527306,"+",0.9267,3359,0.9266991466
"3360","chromosome",708199,"-",0.9267,3360,0.9266991466
"3361","chromosome",2233871,"-",0.9267,3361,0.9266991466
"3362","chromosome",2275802,"-",0.9267,3362,0.9266991466
"3363","chromosome",4355292,"-",0.9267,3363,0.9266991466
"3364","chromosome",4430866,"-",0.9267,3364,0.9266991466
"3365","chromosome",5108005,"+",0.9267,3365,0.9266991466
"3366","chromosome",5604007,"-",0.9267,3366,0.9266991466
"3367","chromosome",5719160,"-",0.9267,3367,0.9266991466
"3368","large.plasmid",78535,"+",0.9267,3368,0.9266991466
"3369","chromosome",372324,"+",0.9266,3369,0.9265991468
"3370","chromosome",1295948,"-",0.9266,3370,0.9265991468
"3371","chromosome",1453394,"+",0.9266,3371,0.9265991468
"3372","chromosome",1630928,"+",0.9266,3372,0.9265991468
"3373","chromosome",2455516,"-",0.9266,3373,0.9265991468
"3374","chromosome",2646567,"+",0.9266,3374,0.9265991468
"3375","chromosome",2657632,"-",0.9266,3375,0.9265991468
"3376","chromosome",2978459,"+",0.9266,3376,0.9265991468
"3377","chromosome",3052681,"+",0.9266,3377,0.9265991468
"3378","chromosome",4454224,"-",0.9266,3378,0.9265991468
"3379","chromosome",571514,"+",0.9265,3379,0.926499147
"3380","chromosome",1457760,"+",0.9265,3380,0.926499147
"3381","chromosome",1808250,"+",0.9265,3381,0.926499147
"3382","chromosome",1827498,"+",0.9265,3382,0.926499147
"3383","chromosome",2980442,"+",0.9265,3383,0.926499147
"3384","chromosome",3848853,"+",0.9265,3384,0.926499147
"3385","chromosome",5339084,"+",0.9265,3385,0.926499147
"3386","chromosome",5584830,"+",0.9265,3386,0.926499147
"3387","chromosome",1230932,"+",0.9264,3387,0.9263991472
"3388","chromosome",1838214,"+",0.9264,3388,0.9263991472
"3389","chromosome",1892067,"+",0.9264,3389,0.9263991472
"3390","chromosome",226957,"-",0.9263,3390,0.9262991474
"3391","chromosome",2305314,"-",0.9263,3391,0.9262991474
"3392","chromosome",4991637,"+",0.9263,3392,0.9262991474
"3393","chromosome",442029,"+",0.9262,3393,0.9261991476
"3394","chromosome",1012889,"+",0.9262,3394,0.9261991476
"3395","chromosome",2186595,"+",0.9262,3395,0.9261991476
"3396","chromosome",2441853,"-",0.9262,3396,0.9261991476
"3397","chromosome",2646881,"+",0.9262,3397,0.9261991476
"3398","chromosome",3662863,"-",0.9262,3398,0.9261991476
"3399","chromosome",3866840,"-",0.9262,3399,0.9261991476
"3400","chromosome",4479738,"-",0.9262,3400,0.9261991476
"3401","chromosome",5602286,"-",0.9262,3401,0.9261991476
"3402","chromosome",856068,"+",0.9261,3402,0.9260991478
"3403","chromosome",1308841,"+",0.9261,3403,0.9260991478
"3404","chromosome",2596843,"+",0.9261,3404,0.9260991478
"3405","chromosome",4891085,"-",0.9261,3405,0.9260991478
"3406","chromosome",8926,"-",0.9259,3406,0.9258991482
"3407","chromosome",1377986,"-",0.9259,3407,0.9258991482
"3408","chromosome",1857339,"+",0.9259,3408,0.9258991482
"3409","chromosome",2272949,"-",0.9259,3409,0.9258991482
"3410","chromosome",2582965,"-",0.9259,3410,0.9258991482
"3411","chromosome",2750084,"-",0.9259,3411,0.9258991482
"3412","chromosome",2819918,"+",0.9259,3412,0.9258991482
"3413","chromosome",2842225,"+",0.9259,3413,0.9258991482
"3414","chromosome",3395367,"-",0.9259,3414,0.9258991482
"3415","chromosome",3708905,"-",0.9259,3415,0.9258991482
"3416","chromosome",3766559,"-",0.9259,3416,0.9258991482
"3417","chromosome",4224760,"-",0.9259,3417,0.9258991482
"3418","chromosome",33905,"-",0.9257,3418,0.9256991486
"3419","chromosome",805048,"-",0.9257,3419,0.9256991486
"3420","chromosome",1184155,"+",0.9257,3420,0.9256991486
"3421","chromosome",1703260,"+",0.9257,3421,0.9256991486
"3422","chromosome",2720893,"-",0.9257,3422,0.9256991486
"3423","chromosome",3402349,"-",0.9257,3423,0.9256991486
"3424","chromosome",4691053,"+",0.9257,3424,0.9256991486
"3425","chromosome",4871227,"+",0.9257,3425,0.9256991486
"3426","chromosome",5670742,"+",0.9257,3426,0.9256991486
"3427","chromosome",5864560,"+",0.9257,3427,0.9256991486
"3428","chromosome",2657629,"-",0.9256,3428,0.9255991488
"3429","chromosome",3661727,"+",0.9256,3429,0.9255991488
"3430","chromosome",5632237,"-",0.9256,3430,0.9255991488
"3431","chromosome",5827464,"-",0.9256,3431,0.9255991488
"3432","chromosome",1232844,"+",0.9255,3432,0.925499149
"3433","chromosome",1416723,"-",0.9255,3433,0.925499149
"3434","chromosome",2019533,"+",0.9255,3434,0.925499149
"3435","chromosome",3290172,"+",0.9255,3435,0.925499149
"3436","chromosome",3469226,"+",0.9255,3436,0.925499149
"3437","chromosome",3811541,"-",0.9255,3437,0.925499149
"3438","chromosome",4003238,"-",0.9255,3438,0.925499149
"3439","chromosome",4350071,"-",0.9255,3439,0.925499149
"3440","chromosome",4976055,"-",0.9255,3440,0.925499149
"3441","chromosome",5183735,"+",0.9255,3441,0.925499149
"3442","chromosome",5415727,"+",0.9255,3442,0.925499149
"3443","chromosome",5711719,"+",0.9255,3443,0.925499149
"3444","chromosome",1219962,"-",0.9254,3444,0.9253991492
"3445","chromosome",1250111,"-",0.9254,3445,0.9253991492
"3446","chromosome",1257865,"-",0.9254,3446,0.9253991492
"3447","chromosome",1557562,"-",0.9254,3447,0.9253991492
"3448","chromosome",2562210,"+",0.9254,3448,0.9253991492
"3449","chromosome",3612067,"-",0.9254,3449,0.9253991492
"3450","chromosome",3709334,"+",0.9254,3450,0.9253991492
"3451","chromosome",614150,"+",0.9253,3451,0.9252991494
"3452","chromosome",3811295,"+",0.9253,3452,0.9252991494
"3453","chromosome",5433076,"-",0.9253,3453,0.9252991494
"3454","chromosome",108401,"-",0.9252,3454,0.9251991496
"3455","chromosome",502601,"+",0.9252,3455,0.9251991496
"3456","chromosome",1063294,"+",0.9252,3456,0.9251991496
"3457","chromosome",1248840,"+",0.9252,3457,0.9251991496
"3458","chromosome",1797878,"+",0.9252,3458,0.9251991496
"3459","chromosome",1805994,"+",0.9252,3459,0.9251991496
"3460","chromosome",1911887,"-",0.9252,3460,0.9251991496
"3461","chromosome",1931352,"+",0.9252,3461,0.9251991496
"3462","chromosome",2321113,"+",0.9252,3462,0.9251991496
"3463","chromosome",2932925,"-",0.9252,3463,0.9251991496
"3464","chromosome",3122767,"+",0.9252,3464,0.9251991496
"3465","chromosome",3373965,"-",0.9252,3465,0.9251991496
"3466","chromosome",758732,"-",0.9251,3466,0.9250991498
"3467","chromosome",5806950,"+",0.9251,3467,0.9250991498
"3468","chromosome",120721,"+",0.925,3468,0.92499915
"3469","chromosome",838098,"-",0.925,3469,0.92499915
"3470","chromosome",991046,"-",0.925,3470,0.92499915
"3471","chromosome",2227303,"+",0.925,3471,0.92499915
"3472","chromosome",2477462,"+",0.925,3472,0.92499915
"3473","chromosome",2692116,"+",0.925,3473,0.92499915
"3474","chromosome",3509486,"+",0.925,3474,0.92499915
"3475","chromosome",4744349,"+",0.925,3475,0.92499915
"3476","chromosome",4968244,"-",0.925,3476,0.92499915
"3477","chromosome",2306574,"-",0.9249,3477,0.9248991502
"3478","chromosome",4533967,"+",0.9249,3478,0.9248991502
"3479","chromosome",169687,"+",0.9248,3479,0.9247991504
"3480","chromosome",440779,"+",0.9248,3480,0.9247991504
"3481","chromosome",554096,"+",0.9248,3481,0.9247991504
"3482","chromosome",900219,"+",0.9248,3482,0.9247991504
"3483","chromosome",2708749,"+",0.9248,3483,0.9247991504
"3484","chromosome",2919866,"+",0.9248,3484,0.9247991504
"3485","chromosome",2990040,"-",0.9248,3485,0.9247991504
"3486","chromosome",3383434,"-",0.9248,3486,0.9247991504
"3487","chromosome",4184963,"+",0.9247,3487,0.9246991506
"3488","chromosome",452302,"-",0.9245,3488,0.924499151
"3489","chromosome",780544,"+",0.9245,3489,0.924499151
"3490","chromosome",922035,"-",0.9245,3490,0.924499151
"3491","chromosome",1015011,"-",0.9245,3491,0.924499151
"3492","chromosome",2066006,"+",0.9245,3492,0.924499151
"3493","chromosome",651026,"+",0.9244,3493,0.9243991512
"3494","chromosome",2614539,"+",0.9244,3494,0.9243991512
"3495","chromosome",5634203,"-",0.9244,3495,0.9243991512
"3496","chromosome",1631615,"+",0.9243,3496,0.9242991514
"3497","chromosome",686583,"+",0.9242,3497,0.9241991516
"3498","chromosome",786957,"-",0.9242,3498,0.9241991516
"3499","chromosome",1041816,"+",0.9242,3499,0.9241991516
"3500","chromosome",3291564,"-",0.9242,3500,0.9241991516
"3501","chromosome",4222962,"-",0.9242,3501,0.9241991516
"3502","chromosome",5674089,"+",0.9242,3502,0.9241991516
"3503","chromosome",713646,"+",0.9241,3503,0.9240991518
"3504","chromosome",2662146,"-",0.9241,3504,0.9240991518
"3505","chromosome",2933723,"+",0.9241,3505,0.9240991518
"3506","chromosome",3335458,"+",0.9241,3506,0.9240991518
"3507","chromosome",3527915,"+",0.9241,3507,0.9240991518
"3508","chromosome",3548030,"+",0.9241,3508,0.9240991518
"3509","chromosome",3641082,"-",0.9241,3509,0.9240991518
"3510","chromosome",3747601,"+",0.9241,3510,0.9240991518
"3511","chromosome",3937786,"-",0.9241,3511,0.9240991518
"3512","chromosome",4107045,"-",0.9241,3512,0.9240991518
"3513","chromosome",4434202,"+",0.9241,3513,0.9240991518
"3514","chromosome",5463238,"-",0.9241,3514,0.9240991518
"3515","chromosome",5807963,"-",0.9241,3515,0.9240991518
"3516","large.plasmid",115209,"+",0.9241,3516,0.9240991518
"3517","chromosome",874984,"-",0.924,3517,0.923999152
"3518","chromosome",1579787,"+",0.9239,3518,0.9238991522
"3519","chromosome",1769802,"+",0.9239,3519,0.9238991522
"3520","chromosome",2370131,"+",0.9239,3520,0.9238991522
"3521","chromosome",3581403,"-",0.9239,3521,0.9238991522
"3522","chromosome",4391909,"+",0.9239,3522,0.9238991522
"3523","chromosome",829659,"+",0.9238,3523,0.9237991524
"3524","chromosome",2286471,"+",0.9238,3524,0.9237991524
"3525","chromosome",2577153,"+",0.9238,3525,0.9237991524
"3526","chromosome",2677418,"+",0.9238,3526,0.9237991524
"3527","chromosome",2698250,"-",0.9238,3527,0.9237991524
"3528","chromosome",2858938,"-",0.9238,3528,0.9237991524
"3529","chromosome",3188949,"+",0.9238,3529,0.9237991524
"3530","chromosome",4016948,"+",0.9238,3530,0.9237991524
"3531","chromosome",700119,"+",0.9237,3531,0.9236991526
"3532","chromosome",1949491,"+",0.9237,3532,0.9236991526
"3533","chromosome",2507023,"-",0.9237,3533,0.9236991526
"3534","chromosome",2740388,"+",0.9237,3534,0.9236991526
"3535","chromosome",3188028,"+",0.9237,3535,0.9236991526
"3536","chromosome",3538924,"+",0.9237,3536,0.9236991526
"3537","chromosome",3751002,"-",0.9237,3537,0.9236991526
"3538","chromosome",3762259,"+",0.9237,3538,0.9236991526
"3539","chromosome",3833194,"-",0.9237,3539,0.9236991526
"3540","chromosome",4275003,"-",0.9237,3540,0.9236991526
"3541","chromosome",5487542,"-",0.9237,3541,0.9236991526
"3542","chromosome",373737,"-",0.9236,3542,0.9235991528
"3543","chromosome",972934,"+",0.9236,3543,0.9235991528
"3544","chromosome",1386048,"-",0.9236,3544,0.9235991528
"3545","chromosome",1564222,"+",0.9236,3545,0.9235991528
"3546","chromosome",2252629,"+",0.9236,3546,0.9235991528
"3547","chromosome",3322323,"+",0.9236,3547,0.9235991528
"3548","chromosome",3435265,"+",0.9236,3548,0.9235991528
"3549","chromosome",4609644,"+",0.9236,3549,0.9235991528
"3550","chromosome",30662,"-",0.9235,3550,0.923499153
"3551","chromosome",76208,"+",0.9235,3551,0.923499153
"3552","chromosome",1957171,"-",0.9235,3552,0.923499153
"3553","chromosome",3314750,"-",0.9235,3553,0.923499153
"3554","chromosome",5429393,"-",0.9235,3554,0.923499153
"3555","chromosome",694293,"+",0.9231,3555,0.9230991538
"3556","chromosome",741846,"+",0.9231,3556,0.9230991538
"3557","chromosome",935115,"-",0.9231,3557,0.9230991538
"3558","chromosome",1147757,"+",0.9231,3558,0.9230991538
"3559","chromosome",1169104,"-",0.9231,3559,0.9230991538
"3560","chromosome",1195485,"-",0.9231,3560,0.9230991538
"3561","chromosome",1386084,"+",0.9231,3561,0.9230991538
"3562","chromosome",1387602,"+",0.9231,3562,0.9230991538
"3563","chromosome",1757487,"-",0.9231,3563,0.9230991538
"3564","chromosome",2377433,"+",0.9231,3564,0.9230991538
"3565","chromosome",2760124,"+",0.9231,3565,0.9230991538
"3566","chromosome",3403008,"+",0.9231,3566,0.9230991538
"3567","chromosome",3549436,"-",0.9231,3567,0.9230991538
"3568","chromosome",3601878,"-",0.9231,3568,0.9230991538
"3569","chromosome",3641079,"-",0.9231,3569,0.9230991538
"3570","chromosome",3902673,"+",0.9231,3570,0.9230991538
"3571","chromosome",3908109,"-",0.9231,3571,0.9230991538
"3572","chromosome",4032193,"+",0.9231,3572,0.9230991538
"3573","chromosome",4315092,"-",0.9231,3573,0.9230991538
"3574","chromosome",4457239,"-",0.9231,3574,0.9230991538
"3575","chromosome",5318040,"-",0.9231,3575,0.9230991538
"3576","chromosome",5368195,"-",0.9231,3576,0.9230991538
"3577","chromosome",5383375,"-",0.9231,3577,0.9230991538
"3578","chromosome",5448171,"+",0.9231,3578,0.9230991538
"3579","chromosome",5855811,"-",0.9231,3579,0.9230991538
"3580","chromosome",1406174,"+",0.9227,3580,0.9226991546
"3581","chromosome",3370938,"+",0.9227,3581,0.9226991546
"3582","chromosome",5676307,"-",0.9227,3582,0.9226991546
"3583","chromosome",6972,"+",0.9226,3583,0.9225991548
"3584","chromosome",622010,"+",0.9226,3584,0.9225991548
"3585","chromosome",1529833,"-",0.9226,3585,0.9225991548
"3586","chromosome",2577012,"-",0.9226,3586,0.9225991548
"3587","chromosome",3351028,"-",0.9226,3587,0.9225991548
"3588","chromosome",4270950,"-",0.9226,3588,0.9225991548
"3589","chromosome",5108658,"+",0.9226,3589,0.9225991548
"3590","chromosome",5302073,"+",0.9226,3590,0.9225991548
"3591","chromosome",30300,"-",0.9225,3591,0.922499155
"3592","chromosome",83703,"+",0.9225,3592,0.922499155
"3593","chromosome",1428262,"-",0.9225,3593,0.922499155
"3594","chromosome",1776035,"+",0.9225,3594,0.922499155
"3595","chromosome",2761351,"-",0.9225,3595,0.922499155
"3596","chromosome",3095873,"-",0.9225,3596,0.922499155
"3597","chromosome",3830964,"-",0.9225,3597,0.922499155
"3598","chromosome",3834229,"-",0.9225,3598,0.922499155
"3599","chromosome",3989857,"-",0.9225,3599,0.922499155
"3600","chromosome",5362424,"+",0.9225,3600,0.922499155
"3601","chromosome",5854612,"-",0.9225,3601,0.922499155
"3602","chromosome",92558,"+",0.9224,3602,0.9223991552
"3603","chromosome",772299,"-",0.9224,3603,0.9223991552
"3604","chromosome",5115299,"-",0.9224,3604,0.9223991552
"3605","chromosome",1635320,"+",0.9223,3605,0.9222991554
"3606","chromosome",2729679,"+",0.9223,3606,0.9222991554
"3607","chromosome",2799623,"+",0.9223,3607,0.9222991554
"3608","chromosome",2922077,"+",0.9223,3608,0.9222991554
"3609","chromosome",3119809,"+",0.9223,3609,0.9222991554
"3610","chromosome",5470731,"-",0.9223,3610,0.9222991554
"3611","chromosome",460720,"+",0.9222,3611,0.9221991556
"3612","chromosome",1072785,"-",0.9222,3612,0.9221991556
"3613","chromosome",1531775,"-",0.9222,3613,0.9221991556
"3614","chromosome",944090,"-",0.9221,3614,0.9220991558
"3615","chromosome",1035356,"+",0.9221,3615,0.9220991558
"3616","chromosome",1464169,"-",0.9221,3616,0.9220991558
"3617","chromosome",1763673,"+",0.9221,3617,0.9220991558
"3618","chromosome",2465668,"+",0.9221,3618,0.9220991558
"3619","chromosome",4490015,"-",0.9221,3619,0.9220991558
"3620","chromosome",5535029,"-",0.9221,3620,0.9220991558
"3621","chromosome",5807962,"-",0.9221,3621,0.9220991558
"3622","chromosome",18507,"+",0.922,3622,0.921999156
"3623","chromosome",139105,"+",0.922,3623,0.921999156
"3624","chromosome",504139,"+",0.922,3624,0.921999156
"3625","chromosome",600665,"+",0.922,3625,0.921999156
"3626","chromosome",1181207,"-",0.922,3626,0.921999156
